epoca;gen;ac;ap;nc;ng;areac;compg;largg;nr;mc;rgpla;icc;ngcap;mmg
E2;G76;55;72;25;82;0.260080736;0.404251027;0.193528695;0;1.18;0.86;0.728813559;3.28;10.48780488
E2;G77;57;73;20;76;0.29788668;0.418327329;0.203554467;0;1.03;0.82;0.796116505;3.8;10.78947368
E2;G78;47;69;3;20;0.399914042;0.461900395;0.249118333;0;0.13;0.14;1.076923077;6.666666667;7
E2;G79;51;70;29;209;0.362097409;0.410955082;0.236271031;2;1.49;1.15;0.771812081;7.206896552;5.502392344
E2;G80;55;92;19;136;0.38646964;0.429847984;0.239288977;0;0.92;0.67;0.72826087;7.157894737;4.926470588
E2;G81;47;69;7;47;0.397864459;0.447718135;0.247511897;0;0.38;0.26;0.684210526;6.714285714;5.531914894
E2;G82;52;102;57;349;0.411566136;0.414720475;0.231880316;1;2.58;1.62;0.627906977;6.122807018;4.641833811
E2;G83;48;96;25;156;0.398402998;0.448527184;0.236717737;0;1.33;0.87;0.654135338;6.24;5.576923077
E2;G84;71;94;23;162;0.355615395;0.396893791;0.222620601;0;0.96;0.78;0.8125;7.043478261;4.814814815
E2;G85;49;92;26;172;0.366816725;0.43971455;0.229772817;0;1.17;0.84;0.717948718;6.615384615;4.88372093
E2;G86;46;71;17;122;0.423901485;0.435903521;0.250237838;0;0.98;0.67;0.683673469;7.176470588;5.491803279
E2;G87;53;82;27;113;0.332742206;0.418747765;0.234180747;0;0.85;0.5;0.588235294;4.185185185;4.424778761
E2;G88;51;70;16;113;0.397184086;0.398284124;0.22113739;0;0.74;0.61;0.824324324;7.0625;5.398230088
E2;G89;59;90;37;238;0.453191197;0.403210335;0.236858925;1;1.88;1.17;0.622340426;6.432432432;4.915966387
E2;G90;41;76;29;188;0.4539427;0.422329288;0.227232803;0;1.38;1.01;0.731884058;6.482758621;5.372340426
E2;G91;46;58;4;32;0.480152929;0.422450244;0.228940026;0;0.21;0.14;0.666666667;8;4.375
E2;G92;48;57;6;35;0.375032299;0.39155345;0.210633166;0;0.26;0.22;0.846153846;5.833333333;6.285714286
E2;G93;53;75;15;104;0.454542552;0.405719909;0.229630132;0;0.74;0.48;0.648648649;6.933333333;4.615384615
E2;G94;53;76;35;213;0.428772541;0.377004199;0.209601765;0;1.51;1.1;0.728476821;6.085714286;5.164319249
E2;G95;50;72;23;162;0.430941359;0.421128188;0.245080547;0;1.26;0.94;0.746031746;7.043478261;5.802469136
E2;G96;59;80;13;48;0.291896627;0.401043591;0.219659529;0;0.32;0.14;0.4375;3.692307692;2.916666667
E2;G97;61;79;18;125;0.33781345;0.414538158;0.220300189;0;0.75;0.58;0.773333333;6.944444444;4.64
E2;G98;63;63;18;83;0.397097039;0.423992536;0.239007026;0;0.7;0.42;0.6;4.611111111;5.060240964
E2;G99;59;77;11;83;0.317446776;0.416746456;0.233606317;0;0.43;0.3;0.697674419;7.545454545;3.614457831
E2;G100;57;76;12;69;0.398949832;0.391347046;0.214443116;0;0.65;0.49;0.753846154;5.75;7.101449275
E2;G101;62;73;7;86;0.364146235;0.47410681;0.245410654;0;0.32;0.18;0.5625;12.28571429;2.093023256
E2;G102;43;62;8;46;0.327926145;0.427971847;0.24272541;0;0.34;0.24;0.705882353;5.75;5.217391304
E2;G103;61;82;20;49;0.394475065;0.431927971;0.243658595;0;0.82;0.49;0.597560976;2.45;10
E2;G104;45;65;22;156;0.35892501;0.419902541;0.237906381;1;1.14;0.86;0.754385965;7.090909091;5.512820513
E2;G105;37;73;16;96;0.33170633;0.41491764;0.223840115;0;0.61;0.42;0.68852459;6;4.375
