img,id,length
img_278,359,3.80502571
img_188,133,3.90002488
img_115,78,3.64934598
img_513,353,3.88610776
img_316,240,3.53721985
img_24,493,3.90894208
img_276,99,3.71692292
img_103,121,3.88881326
img_521,935,4.45845146
img_1,581,3.49884476
img_574,340,3.74410144
img_26,98,3.49532898
img_527,324,3.491485
img_29,59,4.00787793
img_386,292,3.47133999
img_202,158,3.40505762
img_259,493,3.87178812
img_27,169,3.63028687
img_366,461,4.28090615
img_378,192,3.98534397
img_21,332,3.73943577
img_434,222,4.26408201
img_564,195,3.71513027
img_379,21,3.70646218
img_490,351,4.0760157
img_246,418,3.63028901
img_511,39,4.44154323
img_77,1350,3.58311739
img_486,563,3.98092426
img_374,252,4.15081274
img_538,412,3.81001388
img_46,707,3.81564678
img_69,139,3.78415106
img_302,380,3.74432052
img_2,254,3.78804881
img_495,452,4.52717111
img_327,248,3.73336022
img_528,175,3.64893183
img_126,324,3.56897182
img_65,133,3.68061434
img_46,541,3.54419735
img_496,80,3.91657508
img_315,326,3.67078416
img_156,174,3.95406134
img_543,228,3.74664926
img_377,476,3.5471737
img_200,929,3.90368338
img_77,964,4.27432876
img_386,376,3.25927363
img_301,617,3.95763768
img_227,136,3.90129552
img_58,82,3.86284004
img_275,281,3.78999418
img_273,45,3.60785235
img_573,289,3.89820815
img_198,350,4.07353749
img_20,366,3.63135824
img_25,295,4.13903641
img_84,50,4.21582202
img_498,1217,3.49585892
img_411,195,3.8740758
img_384,123,3.67816842
img_64,34,3.73611741
img_496,789,3.84768933
img_336,575,3.55080908
img_572,427,4.09046751
img_521,1099,3.95908354
img_564,374,3.71023102
img_282,620,3.86648602
img_330,588,3.54950315
img_221,930,3.39269701
img_334,327,3.75492224
img_432,171,3.89586795
img_71,549,3.66379354
img_181,8,4.34023732
img_77,613,3.83943933
img_122,566,3.75817075
img_206,209,3.97476564
img_227,419,4.22566294
img_2,493,3.99005068
img_156,132,3.79001734
img_517,184,3.9947905
img_428,54,3.49003743
img_115,171,3.65230568
img_136,109,3.59708561
img_496,534,4.09125472
img_270,11,3.9324818
img_532,594,3.37927139
img_136,72,3.71932307
img_116,366,3.89547131
img_524,622,4.05606887
img_33,432,3.67377144
img_498,518,3.61128171
img_37,40,3.43795089
img_73,302,3.48338387
img_315,157,3.77884586
img_258,841,3.45353487
img_12,1044,3.52382704
img_256,443,3.38509846
img_21,355,3.89928959
img_247,480,3.93533061
img_191,1529,3.47514596
img_523,453,3.61855085
img_95,83,4.0977374
img_173,247,3.97424836
img_77,394,3.87742836
img_362,383,3.77376338
img_1,310,3.73232112
img_272,1201,3.84319309
img_521,1434,4.07124319
img_374,262,4.05095025
img_233,300,4.01675598
img_272,1237,3.94700757
img_126,96,3.93241697
img_61,665,3.42817607
img_77,818,3.68448898
img_78,1407,4.47898738
img_282,1068,3.76709891
img_234,32,4.35177282
img_280,215,3.88304063
img_12,300,3.96696648
img_311,124,3.13346115
img_7,69,4.3098912
img_234,77,4.31770638
img_542,15,3.94710445
img_193,393,3.85407483
img_15,264,3.92395892
img_127,199,3.57781254
img_13,1102,4.3364363
img_546,90,4.08489213
img_277,1737,3.56056507
img_111,1361,3.22274922
img_527,287,3.72739843
img_77,272,3.76943062
img_200,2109,3.80880383
img_571,209,3.79424178
img_197,868,3.58975384
img_129,344,3.49396179
img_513,545,3.99430579
img_385,327,3.90443386
img_304,322,3.78680335
img_55,125,3.90536446
img_463,206,3.86478352
img_328,132,4.11565699
img_71,187,3.8497749
img_500,285,3.9645931
img_496,388,4.01733376
img_45,452,3.47680192
img_228,121,3.67778378
img_191,353,3.74024755
img_16,216,3.74206988
img_546,118,4.40041608
img_393,165,4.02951931
img_42,366,3.38347517
img_277,1676,3.75308491
img_200,2006,3.63937613
img_196,1492,4.08071972
img_172,121,3.7615629
img_190,120,4.16999826
img_541,60,3.36447678
img_72,164,4.1937263
img_565,725,3.528303
img_19,425,4.48116528
img_546,101,4.06685845
img_251,182,3.84428869
img_504,13,4.11136902
img_201,1229,3.6074286
img_20,194,3.65633908
img_3,474,3.9932736
img_521,850,4.11697421
img_511,30,4.22176413
img_565,568,3.51028917
img_42,47,3.68889176
img_462,217,3.69011405
img_546,993,3.86277014
img_362,113,3.95818441
img_507,45,4.01227022
img_328,230,3.87895508
img_207,37,4.05185462
img_116,72,3.92743877
img_192,922,3.65833329
img_192,213,4.21355119
img_532,603,3.7211824
img_375,1529,3.84352039
img_304,728,3.86237378
img_230,422,3.28038216
img_226,747,3.66598757
img_194,819,3.92473536
img_198,40,3.86856723
img_107,279,3.75361526
img_315,268,3.72997454
img_488,224,4.12043477
img_107,228,3.7354625
img_464,39,4.18366116
img_111,416,3.98823034
img_314,67,3.76116288
img_60,493,3.99089066
img_474,25,3.58569621
img_110,33,3.95297879
img_472,106,3.77157088
img_546,229,4.20924786
img_120,163,3.65967698
img_24,258,3.89321625
img_151,180,3.67187533
img_221,478,3.46385287
img_309,105,3.62105532
img_194,556,3.99158366
img_251,429,3.71008647
img_196,219,3.87075739
img_269,210,3.53737428
img_173,3,4.30197311
img_102,98,3.46023619
img_486,792,3.3943222
img_43,173,3.84278276
img_16,282,3.70026623
img_20,245,3.86771441
img_119,341,4.04405054
img_463,88,4.02112182
img_28,893,3.90739766
img_221,811,3.94125371
img_5,580,3.65291517
img_525,85,3.76450042
img_377,364,3.28040539
img_521,1079,4.53763434
img_374,74,4.23737942
img_272,414,3.83369698
img_12,592,3.59630487
img_498,1264,3.7390308
img_109,383,3.77934038
img_6,129,3.72785586
img_60,359,3.83791623
img_277,165,3.96773625
img_13,701,3.78428135
img_50,451,3.38650326
img_78,1848,3.58426992
img_253,1042,4.27312412
img_51,493,3.889755
img_246,32,3.90482517
img_273,213,3.91347398
img_33,183,4.14491571
img_198,391,3.64308146
img_522,672,3.43158294
img_368,101,4.0249486
img_19,892,3.75510757
img_532,739,3.41421353
img_200,1410,3.72938753
img_387,134,2.86676005
img_303,35,4.02168776
img_211,380,4.24503458
img_51,507,3.75823963
img_305,1003,3.60546872
img_26,96,3.36036259
img_523,1030,3.84519984
img_378,286,3.74856743
img_127,127,3.42730782
img_292,571,3.90343141
img_501,27,4.34711728
img_11,323,3.7991484
img_546,665,3.90002416
img_395,100,3.89203776
img_77,1409,3.7516103
img_326,391,3.84687255
img_271,799,3.8489015
img_67,30,4.02549352
img_252,426,4.06400698
img_78,164,4.26114348
img_496,625,3.82545911
img_328,190,4.01970837
img_28,1015,3.90332581
img_277,718,4.05103584
img_565,562,3.71568146
img_309,70,3.72747104
img_288,968,3.2567975
img_120,427,3.54863783
img_341,390,3.31647384
img_425,36,4.03334849
img_471,438,3.68615442
img_498,49,3.67998859
img_216,33,3.48446698
img_6,846,3.67160806
img_361,61,4.05284688
img_493,281,3.36788702
img_33,407,4.23649646
img_20,936,3.60430629
img_339,514,3.23853376
img_71,90,4.00266976
img_20,742,3.63131621
img_123,128,4.15545522
img_254,120,3.81459511
img_12,593,3.84465065
img_502,456,4.48413932
img_11,553,3.92797391
img_154,237,4.16326663
img_2,29,3.72593935
img_13,1364,4.135126
img_259,541,3.58873642
img_61,902,3.70908418
img_429,2,4.70419102
img_157,223,4.02603128
img_135,258,2.88919732
img_496,333,4.30915493
img_111,184,3.33292335
img_196,401,3.73189087
img_246,674,3.90233315
img_199,9,4.07212244
img_280,690,3.42519455
img_515,466,3.74241925
img_306,318,3.68962523
img_42,150,3.56684635
img_539,72,3.8966708
img_221,562,3.69373939
img_499,943,3.36402942
img_411,654,3.94261527
img_156,210,3.97650356
img_515,437,3.85780518
img_286,12,3.89731502
img_527,606,3.3012256
img_516,105,3.80579942
img_13,847,3.75182967
img_472,788,3.72156912
img_137,96,3.90497275
img_77,1030,3.12829097
img_61,139,3.73031863
img_205,341,4.05411815
img_116,276,3.96712043
img_368,46,4.03979404
img_538,452,4.01932512
img_246,581,3.51635041
img_49,10,4.07935356
img_120,26,3.71392441
img_248,94,3.3534689
img_452,98,3.5518864
img_488,117,4.02243216
img_387,39,3.55548458
img_572,535,4.13240839
img_89,369,3.59422613
img_136,61,3.3988044
img_492,760,3.87505523
img_373,362,4.17127288
img_370,121,4.37450623
img_127,300,3.61968458
img_486,432,4.29565004
img_305,474,3.74064989
img_496,275,4.16673922
img_22,274,4.18904021
img_134,231,3.76554106
img_503,106,3.979407
img_189,224,3.34501832
img_375,947,3.8879074
img_48,31,3.81636479
img_27,145,3.54542013
img_3,330,3.91926462
img_375,1366,3.15336483
img_221,699,3.40904939
img_13,88,4.52804184
img_197,654,3.56726978
img_93,121,3.76233549
img_46,333,3.99830676
img_543,141,3.56035308
img_286,633,3.46444488
img_304,404,3.91599675
img_521,1030,4.1594285
img_233,253,4.32971568
img_172,245,3.87252066
img_111,1010,3.69057395
img_532,728,3.63123914
img_226,569,3.37664717
img_50,286,3.2281879
img_109,284,3.74689267
img_36,78,4.1293287
img_371,608,4.03747277
img_386,548,3.41568489
img_22,165,3.98230841
img_463,93,4.1538807
img_310,42,3.85654135
img_472,107,3.86525139
img_50,535,3.37770655
img_529,194,3.50944832
img_77,1251,3.62979253
img_77,1329,4.02518979
img_487,313,3.75798363
img_77,1228,3.99307403
img_532,353,3.52147257
img_326,157,3.53433687
img_471,66,3.74306789
img_277,612,4.68328713
img_227,367,3.54379028
img_1,658,3.55358461
img_255,335,3.74631966
img_473,133,3.69280361
img_171,186,3.98531805
img_1,322,3.71547683
img_538,215,4.0056869
img_28,85,4.17962939
img_219,93,3.92095332
img_572,204,3.95708204
img_154,680,3.86061644
img_257,944,3.57869274
img_206,21,4.71548995
img_90,247,4.00144743
img_196,855,4.15391743
img_13,1390,3.9958223
img_200,179,3.82355451
img_532,362,3.7439898
img_184,75,3.57920112
img_574,472,3.65459183
img_521,554,4.26302885
img_378,177,3.67877894
img_340,265,3.62091318
img_253,1242,3.97224967
img_140,32,3.67380552
img_112,324,3.81145409
img_571,70,3.93746513
img_499,211,3.60481115
img_496,453,3.87140336
img_288,926,3.50613547
img_501,319,3.79275823
img_256,584,3.50472401
img_25,393,3.74521285
img_119,111,4.09229515
img_40,121,3.84512873
img_424,27,4.2406221
img_118,199,3.89761105
img_362,84,3.87575943
img_275,22,3.52216335
img_119,140,4.07895864
img_475,405,3.74340644
img_304,181,4.07419646
img_99,64,3.79757732
img_204,580,3.96177727
img_157,44,4.12518606
img_231,45,3.59040546
img_60,117,3.87383305
img_291,27,4.12444293
img_362,187,3.99313967
img_226,158,3.67091551
img_115,237,3.59389995
img_394,23,3.74604262
img_522,267,3.46556401
img_45,130,3.58265225
img_213,154,3.94243707
img_533,53,3.80516997
img_237,186,3.39677247
img_375,1433,4.36844685
img_228,122,3.59127779
img_221,1058,3.63394603
img_368,105,4.01887637
img_524,827,4.03974567
img_78,692,3.63379602
img_534,142,3.32026747
img_372,82,3.8433724
img_200,2,4.1540109
img_380,24,3.96940081
img_381,109,3.68128932
img_108,79,3.91840553
img_24,322,3.73977583
img_252,145,4.20352215
img_301,647,3.83435737
img_387,128,3.48906998
img_462,230,4.12802934
img_33,130,4.16889763
img_282,361,4.03593817
img_371,419,4.1884022
img_196,208,3.7115963
img_78,69,4.1434122
img_513,101,3.96389577
img_361,30,4.16027562
img_152,852,3.77575818
img_67,84,3.66643799
img_391,247,3.46075691
img_385,190,4.05293543
img_263,41,3.75944612
img_91,13,3.81775965
img_40,98,3.9872535
img_100,199,3.97006031
img_288,53,3.6003817
img_524,81,4.06811375
img_194,389,3.96916958
img_123,198,3.91697611
img_2,616,3.77071098
img_366,378,4.30996298
img_27,217,3.54534777
img_334,141,3.74886076
img_128,33,3.64960308
img_200,1520,3.77148618
img_35,160,3.94854621
img_126,157,3.64484896
img_26,97,3.57921409
img_532,640,3.4190891
img_205,643,4.06109289
img_492,724,4.05208148
img_29,415,3.4256776
img_6,955,3.35082999
img_25,401,4.05387845
img_49,422,3.47530816
img_92,64,4.34887595
img_387,63,3.44538972
img_191,921,3.80645413
img_426,119,4.07789857
img_531,96,3.67398375
img_251,65,3.70637747
img_461,183,3.86855617
img_273,23,3.94999024
img_190,50,4.45551633
img_259,1022,3.52651382
img_299,60,3.62829134
img_44,171,3.66038995
img_107,555,3.41555901
img_395,90,3.81572996
img_328,182,3.99438184
